ChartNum,Folder_Name,File_Link,Chart_Type,Orientation,Tick_Direction,Tick_Length,Tick_Width,Tick_X_Axis_Major_Locator,Tick_X_Axis_Minor_Locator,Tick_X_Axis_Tick_Style,Tick_X_Axis_Color,Tick_X_Axis_Font_Name,Tick_X_Axis_Font_Size,Tick_X_Axis_Rotation,Tick_Y_Axis_Major_Locator,Tick_Y_Axis_Minor_Locator,Tick_Y_Axis_Tick_Style,Tick_Y_Axis_Color,Tick_Y_Axis_Font_Name,Tick_Y_Axis_Font_Size,Tick_Y_Axis_Rotation,ShowGrid,Independent_Axis_Scale,Independent_Axis_Labels_Source,Dependent_Axis_Scale,Dependent_Axis_Labels_Source
Chart1,SynChart_200106_223729,"=hyperlink(""./Chart1/Chart1_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart2,SynChart_200106_223729,"=hyperlink(""./Chart2/Chart2_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart3,SynChart_200106_223729,"=hyperlink(""./Chart3/Chart3_gt_bb.png"")",Line,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart4,SynChart_200106_223729,"=hyperlink(""./Chart4/Chart4_gt_bb.png"")",Line,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart5,SynChart_200106_223729,"=hyperlink(""./Chart5/Chart5_gt_bb.png"")",Bar,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart6,SynChart_200106_223729,"=hyperlink(""./Chart6/Chart6_gt_bb.png"")",Bar,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart7,SynChart_200106_223729,"=hyperlink(""./Chart7/Chart7_gt_bb.png"")",Line,Horizontal,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart8,SynChart_200106_223729,"=hyperlink(""./Chart8/Chart8_gt_bb.png"")",Line,Horizontal,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,False,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart9,SynChart_200106_223729,"=hyperlink(""./Chart9/Chart9_gt_bb.png"")",Bar,Vertical,out,10,1.35,1,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
Chart10,SynChart_200106_223729,"=hyperlink(""./Chart10/Chart10_gt_bb.png"")",Bar,Vertical,out,10,1.35,3,1,both,red,Times New Roman,10,10,1,1,both,green,sans-serif,7,20,True,LINEAR,DATAFILE-DATA,LINEAR,DATAFILE-DATA
